year,sector,estimate,se,ci_lo,ci_hi
2019,construction,0.4368520074605841,0.4576589887340672,-0.4601596104581876,1.3338636253793559
2020,construction,0.060260503705913696,0.47163763805672937,-0.8641492668852758,0.9846702742971033
1998,construction,0,0,0,0
1994,retail,0.8727486436301686,0.4430278460941021,0.004414065285728408,1.7410832219746086
1995,retail,0.589647263561051,0.26237968333902983,0.0753830842165526,1.1039114429055494
1996,retail,0.43790651685201126,0.17774595309129665,0.08952444879306981,0.7862885849109527
1997,retail,0.10287653132365528,0.2153538859493545,-0.3192170851370796,0.5249701477843901
1999,retail,0.17982723459317093,0.2519909748330866,-0.31407507607967877,0.6737295452660206
2000,retail,0.16689949444380997,0.30575529540712415,-0.4323808845541533,0.7661798734417733
2001,retail,0.2280580554547988,0.39541823582236835,-0.5469616867570433,1.0030777976666407
2002,retail,0.19707701372669967,0.3197760190092195,-0.42968398353137055,0.8238380109847698
2003,retail,0.05294733771849765,0.30282700484589464,-0.5405935917794558,0.6464882672164511
2004,retail,0.06609069945231688,0.3245227790155056,-0.5699739474180741,0.7021553463227077
2005,retail,-0.09485961693692067,0.29977140248148687,-0.6824115658006349,0.4926923319267935
2006,retail,0.3668791908443239,0.519766739095366,-0.6518636177825934,1.385621999471241
2007,retail,0.13268273210460782,0.5795691215473223,-1.0032727461281439,1.2686382103373595
2008,retail,0.005388716073235089,0.5107876136766084,-0.9957550067329173,1.0065324388793875
2009,retail,-0.13840225562876945,0.538804962300755,-1.1944599817382493,0.9176554704807105
2010,retail,-0.13528734786976052,0.5159312355898883,-1.1465125696259415,0.8759378738864205
2011,retail,-0.019808028158017254,0.5868271538744603,-1.1699892497519595,1.130373193435925
2012,retail,0.0737597181977655,0.6147744919067448,-1.1311982859394543,1.2787177223349855
2013,retail,0.0507893371168792,0.5983976098926007,-1.122069978272618,1.2236486525063766
2014,retail,-0.6714047043446603,1.020285778241488,-2.671164829697977,1.3283554210086563
2015,retail,-0.504851175559167,0.817531148257005,-2.107212226142897,1.0975098750245627
2016,retail,-0.5978416757314835,0.8378211038677121,-2.2399710393121994,1.0442876878492322
2017,retail,0.03257352482282706,0.47706094462037224,-0.9024659266331025,0.9676129762787566
2018,retail,-0.10857619370376084,0.45031261958830504,-0.9911889280968387,0.774036540689317
2019,retail,-0.05263777053799545,0.5056723111145025,-1.0437555003224204,0.9384799592464295
2020,retail,-0.16624462848779717,0.44791879773669274,-1.0441654720517148,0.7116762150761206
1998,retail,0,0,0,0
1994,foodservice,0.4734975231500157,0.4771209259571997,-0.46165949172609566,1.408654538026127
1995,foodservice,0.15301208867369992,0.3634352250656505,-0.5593209524549752,0.8653451298023749
1996,foodservice,-0.0852403435790722,0.3123222379614164,-0.6973919299834483,0.526911242825304
1997,foodservice,-0.12971065960353806,0.37631750581571294,-0.8672929710023354,0.6078716517952594
1999,foodservice,0.054756925551944606,0.12190451607740159,-0.1841759259597625,0.29368977706365174
2000,foodservice,-0.22916179034440634,0.25764103550779976,-0.7341382199396939,0.27581463925088123
2001,foodservice,-0.037372509332137975,0.24692849169895553,-0.5213523530620908,0.44660733439781486
2002,foodservice,0.04521273431984269,0.33644417579745556,-0.6142178502431701,0.7046433188828556
2003,foodservice,0.1641697493544648,0.33688172342271644,-0.4961184285540594,0.824457927262989
2004,foodservice,0.2042859065759232,0.3547995854450418,-0.49112128089635876,0.8996930940482051
2005,foodservice,-0.09466304609539519,0.3467728917792486,-0.7743379139827224,0.585011821791932
2006,foodservice,-0.29899272225860024,0.36895834246532133,-1.02215107349063,0.4241656289734295
2007,foodservice,0.03642514175399853,0.3954960105635604,-0.7387470389505797,0.8115973224585769
2008,foodservice,0.06973912366160738,0.3865692061948196,-0.687936520480239,0.8274147678034538
2009,foodservice,0.0012878796220268148,0.4079176876494628,-0.7982307881709202,0.8008065474149738
2010,foodservice,-0.18854413778557513,0.40684299820655884,-0.9859564142704305,0.6088681386992802
2011,foodservice,0.07362663818227333,0.503255211864957,-0.9127535770730424,1.060006853437589
2012,foodservice,-0.09812580151936805,0.6006688292216112,-1.275436706793726,1.07918510375499
2013,foodservice,-0.16296467763189734,0.5747592375124714,-1.2894927831563412,0.9635634278925465
2014,foodservice,-0.13482140077004973,0.6312522735441947,-1.3720758569166711,1.1024330553765718
2015,foodservice,-0.20506351176018014,0.6270721006509018,-1.4341248290359476,1.0239978055155872
2016,foodservice,-0.20961369222320742,0.6730981431084326,-1.5288860527157353,1.1096586682693204
2017,foodservice,0.3411954060790192,0.8134835765985843,-1.253232404054206,1.9356232162122444
2018,foodservice,0.08812064316031742,0.8048218707854279,-1.4893302235791213,1.665571509899756
2019,foodservice,0.2801677641718889,0.7862177431350037,-1.2608190123727183,1.8211545407164962
2020,foodservice,0.28433482927321657,0.7414765090223657,-1.1689591284106202,1.7376287869570535
1998,foodservice,0,0,0,0
