year,actual,synthetic,fips,gap,is_treated
2010,50169.140766592056,56883.80296796974,48121,-6714.662201377687,FALSE
2011,51359.7260501736,64326.39894180046,48121,-12966.672891626855,FALSE
2012,52390.30652368964,67336.93852379748,48121,-14946.632000107842,FALSE
2013,53209.36496434965,68307.16055630379,48121,-15097.795591954142,FALSE
2014,54643.78131336173,70352.24259903809,48121,-15708.461285676356,FALSE
2015,56724.68147010551,62678.12501458869,48121,-5953.443544483176,FALSE
2016,57532.0072831209,58685.26412852929,48121,-1153.2568454083885,FALSE
2017,58227.195728622704,67935.71895858325,48121,-9708.523229960549,FALSE
2018,60481.3417825867,73214.41579748753,48121,-12733.074014900827,FALSE
2019,62609.99666349835,74861.38704224485,48121,-12251.390378746502,FALSE
2020,64211,67515.18804277206,48121,-3304.1880427720607,FALSE
2021,67629.73936967191,71678.20592429412,48121,-4048.4665546222095,FALSE
2022,65640.38770566025,72800.73813309173,48121,-7160.350427431476,FALSE
1990,30881.082976281563,30877.47566137984,48139,3.607314901721111,FALSE
1991,30720.979713656387,30895.41763425007,48139,-174.43792059368207,FALSE
1992,31595.97154668567,31950.75506208745,48139,-354.7835154017812,FALSE
1993,32139.13206920415,32332.930617367427,48139,-193.79854816327497,FALSE
1994,33423.64189608637,32834.81248821537,48139,588.829407870995,FALSE
1995,34022.43814960629,33892.51073332803,48139,129.92741627826035,FALSE
1996,34712.67485022307,34625.871585113586,48139,86.80326510948362,FALSE
1997,36902.739781931465,36848.436305388444,48139,54.303476543020224,FALSE
1998,38072.2095582822,38176.764825440434,48139,-104.55526715823362,FALSE
1999,39057.78008403361,39351.57535756198,48139,-293.79527352836885,FALSE
2000,39427.34589430894,40604.4682088135,48139,-1177.1223145045587,FALSE
2001,39955.68351778656,41309.56787299784,48139,-1353.8843552112812,FALSE
2002,39036.00708171206,41083.723700372444,48139,-2047.7166186603863,FALSE
2003,38105.70000543478,41002.740751155965,48139,-2897.040745721184,FALSE
2004,38288.68293276866,40089.6137100303,48139,-1800.9307772616448,FALSE
2005,38348.55462365591,41459.67807721013,48139,-3111.123453554217,FALSE
2006,39321.04225694444,42860.548545716556,48139,-3539.506288772114,FALSE
2007,40902.07892274599,43661.09122090713,48139,-2759.012298161142,FALSE
2008,40875.46036980441,45416.86260952164,48139,-4541.40223971723,FALSE
2009,40209.518362799885,44335.81603166165,48139,-4126.297668861764,FALSE
2010,40310.73665939024,44558.685806084264,48139,-4247.9491466940235,FALSE
2011,41036.69495285388,45796.67594214272,48139,-4759.980989288837,FALSE
2012,41710.69201285748,47285.76784855453,48139,-5575.075835697055,FALSE
2013,41840.68764192533,48321.76897070493,48139,-6481.081328779597,FALSE
2014,42613.68769008516,49382.502288356714,48139,-6768.814598271558,FALSE
2015,43973.967188007606,49458.72278216234,48139,-5484.7555941547325,FALSE
2016,44820.44442037107,49513.46726044169,48139,-4693.0228400706255,FALSE
2017,45430.24191008485,50394.123237532534,48139,-4963.881327447685,FALSE
2018,46154.88772117065,50986.55071943016,48139,-4831.662998259511,FALSE
2019,47989.82799219266,53115.06741276504,48139,-5125.239420572383,FALSE
2020,49287,55424.67177393642,48139,-6137.671773936418,FALSE
2021,51370.59757168689,57746.66197594333,48139,-6376.064404256438,FALSE
2022,48802.26281457689,56167.36940382902,48139,-7365.106589252129,FALSE
1990,31067.22095638868,29635.666138684202,48143,1431.5548177044766,FALSE
1991,28832.153472834067,29593.72435398311,48143,-761.570881149044,FALSE
1992,30094.388125445468,30455.85363404648,48143,-361.4655086010134,FALSE
1993,30421.486747404844,30723.621281217373,48143,-302.1345338125284,FALSE
1994,31589.9607219973,30983.542951227493,48143,606.4177707698072,FALSE
1995,30359.3454527559,30856.904774241517,48143,-497.55932148561624,FALSE
1996,31906.82710643722,31333.154718316237,48143,573.6723881209837,FALSE
1997,31858.74720872274,32658.196009872765,48143,-799.4488011500252,FALSE
1998,33805.79755214723,33694.985876996376,48143,110.8116751508569,FALSE
1999,34016.713487394954,34479.36439655299,48143,-462.6509091580374,FALSE
2000,33565.77272357723,34976.416834816075,48143,-1410.644111238842,FALSE
2001,34596.79059288537,39372.32015073074,48143,-4775.529557845366,FALSE
2002,34239.58754863813,39318.642532132864,48143,-5079.054983494738,FALSE
2003,32293.705157608696,39665.02956770464,48143,-7371.324410095942,FALSE
2004,32683.62310746426,39106.534485167664,48143,-6422.911377703404,FALSE
2005,32275.17616487455,40395.804352793384,48143,-8120.6281879188355,FALSE
2006,31961.10444444444,41147.93952734707,48143,-9186.835082902631,FALSE
2007,32811.03657724918,42029.60775041256,48143,-9218.571173163378,FALSE
2008,33866.14354189212,43603.81314215691,48143,-9737.669600264795,FALSE
2009,31878.327165011156,43363.71399791747,48143,-11485.386832906312,FALSE
2010,34826.06468980445,44745.88595905804,48143,-9919.821269253589,FALSE
2011,35749.76585207545,45791.26473391928,48143,-10041.498881843829,FALSE
2012,35791.47565267385,45782.28191071021,48143,-9990.806258036362,FALSE
2013,35610.30139897062,45842.6480648539,48143,-10232.346665883277,FALSE
2014,38195.87522810219,46755.43817968092,48143,-8559.56295157873,FALSE
2015,37714.902850850354,46992.34317950664,48143,-9277.440328656288,FALSE
2016,38048.42077106084,45990.3006728826,48143,-7941.879901821761,FALSE
2017,39596.64703818537,46960.23018548175,48143,-7363.583147296376,FALSE
2018,40855.130398595014,48236.3505120059,48143,-7381.220113410884,FALSE
2019,42386.54357205161,48859.56676384959,48143,-6473.023191797976,FALSE
2020,45089,51231.48270249812,48143,-6142.4827024981205,FALSE
2021,45533.81113407387,54604.46052972692,48143,-9070.649395653054,FALSE
2022,45044.63714954469,51040.77994194671,48143,-5996.1427924020245,FALSE
1990,27906.835677123185,27853.340953738498,48147,53.49472338468695,FALSE
1991,27853.53625550661,27883.681384450927,48147,-30.14512894431755,FALSE
1992,28596.49409836065,28262.477557460417,48147,334.01654090023294,FALSE
1993,28318.75931487889,28477.59845699983,48147,-158.83914212093805,FALSE
1994,29040.270708502023,28339.24345669632,48147,701.0272518057027,FALSE
1995,27934.26600393701,28276.305357139576,48147,-342.0393532025664,FALSE
1996,28856.849165073298,28768.5573237604,48147,88.2918413128973,FALSE
1997,29962.41240498442,29866.738592818627,48147,95.67381216579452,FALSE
1998,29891.87660122699,30656.94264539726,48147,-765.0660441702676,FALSE
1999,30804.101554621844,31372.68105618602,48147,-568.5795015641743,FALSE
2000,30248.72349593496,31763.522000878096,48147,-1514.7985049431372,FALSE
2001,30690.512766798416,32970.372942569,48147,-2279.8601757705874,FALSE
2002,30703.41501945525,32577.0452519415,48147,-1873.6302324862518,FALSE
2003,31147.341217391306,33503.70407989383,48147,-2356.3628625025267,FALSE
2004,31202.550100582313,33484.8567946204,48147,-2282.306694038085,FALSE
2005,31052.01921146953,34504.9258309351,48147,-3452.906619465568,FALSE
2006,31180.563333333328,35139.07856379508,48147,-3958.515230461755,FALSE
2007,31929.784510615307,35816.5611662975,48147,-3886.7766556821916,FALSE
2008,32856.39802046418,37037.042876080224,48147,-4180.644855616047,FALSE
2009,32983.36208206509,36826.16776522009,48147,-3842.8056831549984,FALSE
2010,33527.59441611329,38127.23698480932,48147,-4599.642568696036,FALSE
2011,35334.40537212311,38855.61398400615,48147,-3521.208611883041,FALSE
2012,35169.23085533594,39421.83419806534,48147,-4252.603342729402,FALSE
2013,35247.01033237894,39593.1182264265,48147,-4346.107894047564,FALSE
2014,36203.97859218708,41111.092152027944,48147,-4907.1135598408655,FALSE
2015,38322.02772374977,41869.48537393102,48147,-3547.457650181248,FALSE
2016,38986.58328298757,40988.17965622733,48147,-2001.5963732397577,FALSE
2017,39228.153896050906,42005.4941255964,48147,-2777.3402295454944,FALSE
2018,39554.41205143624,43211.150627910865,48147,-3656.7385764746286,FALSE
2019,41337.76260380118,44074.42132032138,48147,-2736.6587165202,FALSE
2020,42649,46139.247317244815,48147,-3490.2473172448153,FALSE
2021,44678.9716869026,48984.42139949973,48147,-4305.449712597132,FALSE
2022,41539.93709999829,45781.35541960932,48147,-4241.418319611024,FALSE
1990,31890.98052792655,31160.93839525107,48181,730.0421326754804,FALSE
1991,31194.136387665196,31180.275256177487,48181,13.861131487708917,FALSE
1992,31289.75183178902,31357.622092603568,48181,-67.87026081454678,FALSE
1993,30953.437384083045,31626.219164910537,48181,-672.7817808274922,FALSE
1994,31202.26813090418,31318.914168625157,48181,-116.64603772097689,FALSE
1995,31729.821023622044,31574.85072988708,48181,154.9702937349648,FALSE
1996,32131.16296367113,32296.516641452687,48181,-165.35367778155705,FALSE
1997,33122.97041121495,32934.423216445546,48181,188.54719476940227,FALSE
1998,33899.47760736196,33964.60197355353,48181,-65.12436619157234,FALSE
1999,34277.6993697479,34396.875981100726,48181,-119.17661135282833,FALSE
2000,35324.24467479675,34646.18759826299,48181,678.0570765337543,FALSE
2001,35388.86039525691,35043.646683103405,48181,345.2137121535052,FALSE
2002,35285.47747081712,34038.41495506648,48181,1247.0625157506365,FALSE
2003,35559.78745108696,34702.469059761075,48181,857.3183913258836,FALSE
2004,36189.6969507676,34169.80421490254,48181,2019.8927358650544,FALSE
2005,36654.95268817204,34790.54865083857,48181,1864.4040373334647,FALSE
2006,37916.58177083333,34939.6646993445,48181,2976.917071488824,FALSE
2007,39309.334394382226,35842.264944927796,48181,3467.0694494544296,FALSE
