outcome,year,estimate,se,ci_lo,ci_hi,t_val,p_val
ln_payann_real,1997,5.092107579910349,4.916541495045055,-4.544313750377959,14.728528910198655,1.0357092653529378,0.32075903414738827
ln_payann_real,1998,0,0,0,0,NA,NA
ln_payann_real,1999,5.046680134062305,4.900830369984584,-4.5589473911074805,14.65230765923209,1.0297602147119773,0.32343194462964164
ln_payann_real,2000,4.977756989280182,4.932540513833254,-4.690022417832995,14.645536396393357,1.0091669749736711,0.33281086417705386
ln_payann_real,2001,5.115929424881144,4.8906764445516675,-4.469796406440124,14.701655256202411,1.0460576329027886,0.31614839900480723
ln_payann_real,2002,4.990514484585284,4.889614004958751,-4.593128965133867,14.574157934304434,1.0206356738025142,0.32756337825744863
ln_payann_real,2003,5.022165613364529,4.868142972502599,-4.519394612740565,14.563725839469623,1.0316388901747375,0.3225860898863766
ln_payann_real,2004,5.405393936564347,4.7310840188850225,-3.867530740450296,14.678318613578991,1.1425275719026946,0.2755188720228624
ln_payann_real,2005,4.953816142898869,4.8567452330241485,-4.565404513828462,14.4730367996262,1.019986823524255,0.3278586329710039
ln_payann_real,2006,4.955462210019811,4.798727974747547,-4.450044620485381,14.360969040525003,1.0326616211831656,0.32212630066710235
ln_payann_real,2007,4.669881424498898,4.8574150889387395,-4.85065214982103,14.190414998818827,0.961392291783568,0.355327572838783
ln_payann_real,2008,4.684664737559802,4.846529746206018,-4.814533565003994,14.183863040123597,0.9666018745117725,0.3528206080004812
ln_payann_real,2009,4.753017111639572,4.844072459484457,-4.741364908949963,14.247399132229107,0.9812027279512296,0.3458617817734969
ln_payann_real,2010,4.841237415807895,4.830385911506079,-4.626318970744021,14.308793802359812,1.0022465087677503,0.3360068148435682
ln_payann_real,2011,4.802608208098233,4.825284426724577,-4.654949268281939,14.260165684478405,0.9953005425958409,0.3392369011461773
ln_payann_real,2012,4.727901668473777,4.840016617450481,-4.758530901729166,14.21433423867672,0.9768358338745204,0.3479326492384853
ln_payann_real,2013,4.804763202140383,4.809554567979021,-4.621963751098497,14.231490155379262,0.9990037817908258,0.33751199263139353
ln_payann_real,2014,4.720207250494093,4.845713577489271,-4.777391361384877,14.217805862373064,0.9740995159973516,0.3492347924411965
ln_payann_real,2015,4.64160343121756,4.862264762813061,-4.88843550389604,14.17164236633116,0.9546175820611139,0.3586066503009795
ln_payann_real,2016,4.5719471375162835,4.872594415576852,-4.978337917014348,14.122232192046916,0.9382983165807006,0.366593425779871
ln_payann_real,2017,4.357571890116084,4.944027474728007,-5.33272196035081,14.047865740582978,0.8813810021061449,0.3954226038761912
ln_payann_real,2018,4.321954933325021,4.939900063946183,-5.360249192009498,14.004159058659539,0.8749073619664435,0.3987973182188729
ln_payann_real,2019,4.2366342502891845,4.968376791807004,-5.501384261652544,13.974652762230914,0.8527199984662025,0.410511618218788
ln_payann_real,2020,4.228664675722956,4.940777308385412,-5.455258848712451,13.912588200158364,0.855870323996617,0.40883439295545365
